file,category,color,gameplay_role,comment
01_red_flower_hibiscus.png,flower,red,primary,赤カテゴリA。ゲーム処理上はred。
11_red_flower_rose.png,flower,red,primary,赤カテゴリB。見た目のみ違い、処理はred共通。
18_red_flower_crimson.png,flower,red,primary,赤カテゴリC。見た目のみ違い、処理はred共通。
02_blue_flower_glow.png,flower,blue,primary,青カテゴリA。ゲーム処理上はblue。
12_blue_flower_bell.png,flower,blue,primary,青カテゴリB。見た目のみ違い、処理はblue共通。
19_blue_flower_azure.png,flower,blue,primary,青カテゴリC。見た目のみ違い、処理はblue共通。
03_yellow_flower_basic.png,flower,yellow,primary,黄カテゴリA。ゲーム処理上はyellow。
13_yellow_flower_sun.png,flower,yellow,primary,黄カテゴリB。見た目のみ違い、処理はyellow共通。
20_yellow_flower_chrysanthemum.png,flower,yellow,primary,黄カテゴリC。見た目のみ違い、処理はyellow共通。
04_purple_potion_basic.png,potion,purple,result,紫カテゴリA。red+blueの結果。
14_purple_potion_amethyst.png,potion,purple,result,紫カテゴリB。見た目のみ違い、処理はpurple共通。
21_purple_potion_sparkle.png,potion,purple,result,紫カテゴリC。見た目のみ違い、処理はpurple共通。
05_green_potion_basic.png,potion,green,result,緑カテゴリA。blue+yellowの結果。
15_green_potion_blossom.png,potion,green,result,緑カテゴリB。見た目のみ違い、処理はgreen共通。
22_green_potion_emerald.png,potion,green,result,緑カテゴリC。見た目のみ違い、処理はgreen共通。
06_orange_potion_basic.png,potion,orange,result,橙カテゴリA。red+yellowの結果。
16_orange_potion_honey.png,potion,orange,result,橙カテゴリB。見た目のみ違い、処理はorange共通。
23_orange_potion_flare.png,potion,orange,result,橙カテゴリC。見た目のみ違い、処理はorange共通。
07_fail_potion_basic.png,potion,mud,fail,失敗A。未定義の組み合わせ用。
17_fail_potion_muddy.png,potion,mud,fail,失敗B。見た目のみ違い、処理はmud共通。
24_fail_potion_sludge.png,potion,mud,fail,失敗C。見た目のみ違い、処理はmud共通。
08_rainbow_slash.png,effect,rainbow,result,リザルトカード右上の斜め虹帯。
09_gold_burst.png,effect,gold,success,通常成功時の軽い演出。
10_rainbow_swirl_burst.png,effect,rainbow,success,高コンボ成功時の派手演出。
